 1,3.600,79
2,1.800,54
3,3.333,74
4,2.283,62
5,4.533,85
6,2.883,55
7,4.700,88
8,3.600,85
9,1.950,51
10,4.350,85
11,1.833,54
12,3.917,84
13,4.200,78
14,1.750,47
15,4.700,83
16,2.167,52
17,1.750,62
18,4.800,84
19,1.600,52
20,4.250,79
21,1.800,51
22,1.750,47
23,3.450,78
24,3.067,69
25,4.533,74
26,3.600,83
27,1.967,55
28,4.083,76
29,3.850,78
30,4.433,79
31,4.300,73
32,4.467,77
33,3.367,66
34,4.033,80
35,3.833,74
36,2.017,52
37,1.867,48
38,4.833,80
39,1.833,59
40,4.783,90
41,4.350,80
42,1.883,58
43,4.567,84
44,1.750,58
45,4.533,73
46,3.317,83
47,3.833,64
48,2.100,53
49,4.633,82
50,2.000,59
51,4.800,75
52,4.716,90
53,1.833,54
54,4.833,80
55,1.733,54
56,4.883,83
57,3.717,71
58,1.667,64
59,4.567,77
60,4.317,81
61,2.233,59
62,4.500,84
63,1.750,48
64,4.800,82
65,1.817,60
66,4.400,92
67,4.167,78
68,4.700,78
69,2.067,65
70,4.700,73
71,4.033,82
72,1.967,56
73,4.500,79
74,4.000,71
75,1.983,62
76,5.067,76
77,2.017,60
78,4.567,78
79,3.883,76
80,3.600,83
81,4.133,75
82,4.333,82
83,4.100,70
84,2.633,65
85,4.067,73
86,4.933,88
87,3.950,76
88,4.517,80
89,2.167,48
90,4.000,86
91,2.200,60
92,4.333,90
93,1.867,50
94,4.817,78
95,1.833,63
96,4.300,72
97,4.667,84
98,3.750,75
99,1.867,51
1004.900,82
1012.483,62
1024.367,88
1032.100,49
1044.500,83
1054.050,81
1061.867,47
1074.700,84
1081.783,52
1094.850,86
1103.683,81
1114.733,75
1122.300,59
1134.900,89
1144.417,79
1151.700,59
1164.633,81
1172.317,50
1184.600,85
1191.817,59
1204.417,87
1212.617,53
1224.067,69
1234.250,77
1241.967,56
1254.600,88
1263.767,81
1271.917,45
1284.500,82
1292.267,55
1304.650,90
1311.867,45
1324.167,83
1332.800,56
1344.333,89
1351.833,46
1364.383,82
1371.883,51
1384.933,86
1392.033,53
1403.733,79
1414.233,81
1422.233,60
1434.533,82
1444.817,77
1454.333,76
1461.983,59
1474.633,80
1482.017,49
1495.100,96
1501.800,53
1515.033,77
1524.000,77
1532.400,65
1544.600,81
1553.567,71
1564.000,70
1574.500,81
1584.083,93
1591.800,53
1603.967,89
1612.200,45
1624.150,86
1632.000,58
1643.833,78
1653.500,66
1664.583,76
1672.367,63
1685.000,88
1691.933,52
1704.617,93
1711.917,49
1722.083,57
1734.583,77
1743.333,68
1754.167,81
1764.333,81
1774.500,73
1782.417,50
1794.000,85
1804.167,74
1811.883,55
1824.583,77
1834.250,83
1843.767,83
1852.033,51
1864.433,78
1874.083,84
1881.833,46
1894.417,83
1902.183,55
1914.800,81
1921.833,57
1934.800,76
1944.100,84
1953.966,77
1964.233,81
1973.500,87
1984.366,77
1992.250,51
2004.667,78
2012.100,60
2024.350,82
2034.133,91
2041.867,53
2054.600,78
2061.783,46
2074.367,77
2083.850,84
2091.933,49
2104.500,83
2112.383,71
2124.700,80
2131.867,49
2143.833,75
2153.417,64
2164.233,76
2172.400,53
2184.800,94
2192.000,55
2204.150,76
2211.867,50
2224.267,82
2231.750,54
2244.483,75
2254.000,78
2264.117,79
2274.083,78
2284.267,78
2293.917,70
2304.550,79
2314.083,70
2322.417,54
2334.183,86
2342.217,50
2354.450,90
2361.883,54
2371.850,54
2384.283,77
2393.950,79
2402.333,64
2414.150,75
2422.350,47
2434.933,86
2442.900,63
2454.583,85
2463.833,82
2472.083,57
2484.367,82
2492.133,67
2504.350,74
2512.200,54
2524.450,83
2533.567,73
2544.500,73
2554.150,88
2563.817,80
2573.917,71
2584.450,83
2592.000,56
2604.283,79
2614.767,78
2624.533,84
2631.850,58
2644.250,83
2651.983,43
2662.250,60
2674.750,75
2684.117,81
2692.150,46
2704.417,90
2711.817,46
2724.467,74
